id;year;ics_number;ics_descr;title
1;19032;generating hacking Colorado;incentivize;Cross-platform
2;61251;Ball;Metal forecast Configurable;India Sausages
3;33790;Iowa Handcrafted;navigate;override e-tailers
4;98351;Malaysia input;withdrawal;port
5;7845;partnerships;Avon Assistant Sweden;Frozen Fantastic
6;8168;North McDonald Salad;Gloves convergence Books;Concrete Metal Central
7;39022;Direct generating Clothing;Prairie California;Innovative Engineer Computer
8;63302;Savings interfaces;superstructure Account loyalty;Account monitor infomediaries
9;14081;Dakota Croatian;payment;Sleek Loan
10;36379;cross-media AI proactive;HTTP TCP;Cotton bypassing
